tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt1839642,movie,The Face of Love,The Face of Love,0,2013,\N,92,"Drama,Romance",4000000.0,24660.0
tt1840309,movie,Divergent,Divergent,0,2014,\N,139,"Adventure,Mystery,Sci-Fi",85000000.0,54607747.0
tt1840417,movie,The Words,The Words,0,2012,\N,102,"Drama,Mystery,Romance",6000000.0,4750894.0
tt1847713,movie,The Guillotines,Xue di zi,0,2012,\N,112,"Action,Drama",15000000.0,3296.0
tt1850397,movie,The Loft,The Loft,0,2014,\N,108,"Mystery,Romance,Thriller",14000000.0,2879000.0
tt1853728,movie,Django Unchained,Django Unchained,0,2012,\N,165,"Drama,Western",100000000.0,30688000.0
tt1855199,movie,End of Watch,End of Watch,0,2012,\N,109,"Action,Crime,Drama",7000000.0,13152683.0
tt1869425,movie,Filly Brown,Filly Brown,0,2012,\N,80,"Drama,Music",427000.0,1478323.0
tt1907639,movie,Hardflip,Hardflip,0,2012,\N,112,"Action,Drama",1000000.0,49879.0
tt1980209,movie,Pain & Gain,Pain & Gain,0,2013,\N,129,"Comedy,Crime,Drama",26000000.0,20244505.0
tt1980959,movie,The Condemned,Los condenados,0,2012,\N,91,"Drama,Mystery",1500000.0,2511.0
tt1990181,movie,Brake,Brake,0,2012,\N,92,Thriller,500000.0,4330.0
tt2014168,movie,A Strange Brand of Happy,A Strange Brand of Happy,0,2013,\N,95,Comedy,500000.0,100956.0
tt2058107,movie,The Railway Man,The Railway Man,0,2013,\N,116,"Biography,Drama,Romance",18000000.0,61845.0
tt2058673,movie,Point Break,Point Break,0,2015,\N,114,"Action,Crime,Sport",105000000.0,9805000.0
tt2063781,movie,Smashed,Smashed,0,2012,\N,81,Drama,500000.0,26943.0
tt2069784,movie,Greedy Lying Bastards,Greedy Lying Bastards,0,2012,\N,90,Documentary,1500000.0,45000.0
tt2101441,movie,Spring Breakers,Spring Breakers,0,2012,\N,94,"Crime,Drama",5000000.0,263002.0
tt2103254,movie,Tammy,Tammy,0,2014,\N,97,"Comedy,Romance",20000000.0,21577049.0
tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,"Action,Biography,Drama",58800000.0,89269067.0
tt2243537,movie,A Haunted House,A Haunted House,0,2013,\N,86,"Comedy,Fantasy,Horror",2500000.0,18101682.0
tt2312718,movie,Homefront,Homefront,0,2013,\N,100,"Action,Crime,Drama",22000000.0,6915241.0
tt2319580,movie,The Grand Seduction,The Grand Seduction,0,2013,\N,113,Comedy,12700000.0,323743.0
tt2321549,movie,The Babadook,The Babadook,0,2014,\N,93,"Drama,Horror",2000000.0,30007.0
tt2322441,movie,Fifty Shades of Grey,Fifty Shades of Grey,0,2015,\N,125,"Drama,Romance,Thriller",40000000.0,94395000.0
tt2325977,movie,Strangerland,Strangerland,0,2015,\N,112,"Drama,Mystery,Thriller",10000000.0,17472.0
tt2326574,movie,The Identical,The Identical,0,2014,\N,107,"Drama,Music",16000000.0,1587137.0
tt2331100,movie,Walk with Me,Walk with Me,0,2017,\N,88,Documentary,800000.0,9932.0
tt2333784,movie,The Expendables 3,The Expendables 3,0,2014,\N,126,"Action,Adventure,Thriller",90000000.0,15879645.0
tt2333804,movie,The Zero Theorem,The Zero Theorem,0,2013,\N,107,"Comedy,Drama,Fantasy",8500000.0,83803.0
tt2334649,movie,Fruitvale Station,Fruitvale Station,0,2013,\N,85,"Biography,Drama,Romance",900000.0,386291.0
tt2334871,movie,Snatched,Snatched,0,2017,\N,90,"Action,Comedy",42000000.0,19542248.0
tt2334873,movie,Blue Jasmine,Blue Jasmine,0,2013,\N,98,Drama,18000000.0,612064.0
tt2334879,movie,White House Down,White House Down,0,2013,\N,131,"Action,Drama,Thriller",150000000.0,24852258.0
tt2339741,movie,The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,0,2014,\N,98,"Drama,Horror,Thriller",15000000.0,15027415.0
tt2342301,movie,Over My Dead Body,Si-che-ga Dol-a-wass-da,0,2012,\N,110,"Comedy,Crime",2600000.0,2137929.0
tt2343793,movie,Third Person,Third Person,0,2013,\N,137,"Drama,Romance",28000000.0,38856.0
tt2345112,movie,Parkland,Parkland,0,2013,\N,93,"Drama,History,Mystery",10000000.0,310246.0
tt2345555,movie,Gibsonburg,Gibsonburg,0,2013,\N,90,"Drama,Mystery,Romance",204000.0,73500.0
tt2345737,movie,The Rover,The Rover,0,2014,\N,103,"Action,Crime,Drama",8500000.0,69302.0
tt2350496,movie,The Lunchbox,Dabba,0,2013,\N,104,"Drama,Romance",1000000.0,44542.0
tt2357129,movie,Jobs,Jobs,0,2013,\N,128,"Biography,Drama",12000000.0,6713900.0
tt2358456,movie,I Am Big Bird: The Caroll Spinney Story,I Am Big Bird: The Caroll Spinney Story,0,2014,\N,86,"Biography,Documentary,Drama",100000.0,10000.0
tt2363471,movie,The Summit,The Summit,0,2012,\N,95,"Adventure,Documentary",1000000.0,20904.0
tt2364841,movie,Runner Runner,Runner Runner,0,2013,\N,88,"Crime,Thriller",30000000.0,7706712.0
tt2369047,movie,Horses of God,Les chevaux de Dieu,0,2012,\N,115,Drama,3000000.0,2251.0
